"precio","marcaModelo","anio","vistas","Cilindrada","Estilo","Combustible","Transmisión","Estado","Kilometraje","Placa","Color exterior","Color interior","# de puertas","Ya pagó impuestos","Precio negociable","Se recibe vehículo","Provincia","Fecha de ingreso","cantidadExtras","marca","modelo"
4500000,"Suzuki SWIFT DZIRE GA",2014,1234,1200,"Sedán","Gasolina","Manual","Excelente",72250,"Termina en 3","BLANCO","BEIGE",4,"SI","SI","NO","San José","12 de Diciembre del 2020",12,"Suzuki","SWIFT DZIRE GA"
2700000,"Honda CIVIC LX",2001,104,1700,"Sedán","Gasolina","Manual","Excelente",1,"Termina en 8","GRIS","NEGRO",2,"SI","SI","NO","Heredia","13 de Enero del 2021",17,"Honda","CIVIC LX"
3700000,"Renault FLUENCE",2012,374,2000,"Sedán","Gasolina","Manual","Excelente",71700,"Termina en 6","GRIS","GRIS Y NEGRO",4,"SI","SI","NO","San José","13 de Enero del 2021",22,"Renault","FLUENCE"
15100000,"Hyundai COUNTY",2009,6,3900,"Microbús/Minivan","Diesel","Manual","Excelente",,"Termina en 0","AZUL","VINO",4,"SI","SI","NO","Heredia","05 de Febrero del 2021",8,"Hyundai","COUNTY"
13750000,"Toyota RAV4",2017,3597,2000,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",80000,"ND","GRIS","GRIS CON NEGRO",5,"SI","SI","SI","Heredia","04 de Enero del 2021",16,"Toyota","RAV4"
6075000,"Honda CIVIC SI",2009,2082,2000,"Sedán","Gasolina","Manual","Excelente",136000,"Termina en 7","TERRACOTA","NEGRO",2,"SI","SI","NO","Heredia","11 de Agosto del 2020",23,"Honda","CIVIC SI"
5400000,"Hyundai ACCENT BLUE ",2015,2614,1600,"Sedán","Gasolina","Automática/Dual","Excelente",158000,"Termina en","GRIS","NEGRO",4,"SI","SI","NO","Heredia","15 de Noviembre del 2020",24,"Hyundai","ACCENT BLUE"
2300000,"Honda CIVIC EX",2000,475,1600,"Sedán","Gasolina","Automática/Dual","Muy Bueno",18000,"ND","NEGRO","Negro",4,"SI","SI","NO","Heredia","22 de Enero del 2021",15,"Honda","CIVIC EX"
4500000,"Suzuki ALTO K10",2016,283,1000,"Hatchback","Gasolina","Manual","Muy Bueno",78200,"Termina en 6","AZUL","GRIS",4,"SI","NO","NO","San José","30 de Diciembre del 2020",10,"Suzuki","ALTO K10"
14890000,"Mitsubishi ASX",2019,26,2000,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",39000,"Termina en 6","PLATEADO","NEGRO",4,"SI","SI","SI","San José","05 de Febrero del 2021",11,"Mitsubishi","ASX"
9650000,"Honda ODYSSEY EXL",2011,234,3500,"Microbús/Minivan","Gasolina","Automática/Dual","Excelente",108000,"Termina en 9","BLANCO","GRIS",5,"SI","SI","NO","Cartago","18 de Enero del 2021",27,"Honda","ODYSSEY EXL"
4500000,"Kia RIO",2013,824,1600,"Hatchback","Gasolina","Manual","Muy Bueno",171003,"Termina en 4","BLANCO","NEGRO",4,"SI","SI","NO","Heredia","12 de Noviembre del 2020",12,"Kia","RIO"
8390000,"Hyundai TUCSON GL",2013,154,2000,"Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente",99000,"Termina en 2","GRIS","NEGRO",5,"SI","SI","SI","Heredia","29 de Enero del 2021",19,"Hyundai","TUCSON GL"
2475000,"Toyota YARIS",2000,2214,1500,"Sedán","Gasolina","Manual","Excelente",210000,"Termina en 3","VERDE","GRIS",2,"SI","SI","NO","Cartago","16 de Noviembre del 2020",12,"Toyota","YARIS"
69990000,"Ford F150 RAPTOR",2019,3359,3500,"Pickup 4x4","Gasolina","Automática/Dual","Excelente",45000,"Termina en 0","GRIS","NEGRO",4,"SI","SI","SI","San José","15 de Enero del 2021",38,"Ford","F150 RAPTOR"
5837803,"Mazda 2",2013,1050,1500,"Sedán","Gasolina","Automática/Dual","Excelente",50080,"Termina en 3","GRIS","GRIS",4,"SI","NO","NO","San José","04 de Noviembre del 2020",14,"Mazda","2"
5500000,"Hyundai TERRACAN GL",2007,2161,2500,"Todo Terreno 4x4","Diesel","Manual","Excelente",204000,"Termina en 0","PLATEADO","GRIS",5,"SI","SI","NO","Heredia","24 de Setiembre del 2020",13,"Hyundai","TERRACAN GL"
22450000,"BMW 420 M PACKAGE GRAND COUPE",2017,1509,2000,"Sedán","Gasolina","Automática/Dual","Excelente",40000,"ND","NEGRO","NEGRO",4,"SI","SI","NO","San José","17 de Diciembre del 2020",35,"BMW","420 M PACKAGE GRAND COUPE"
